Horodateur,Date de l'observation,Nom de l'observateur,Zone d'observation,Zone d'observation,Ordre,Famille,Genre,Espèce,Nombre,Sexe,Lien URL de l'image,Fiche technique,Remaques
05/07/2015 22:35:15,04/07/2015,Tifaeris,C9,,Coléoptères,Oedemeridae,Oedemera,Oedémère ochracé (Oedemera podagrariae),1,Femelle,https://tifaeris.files.wordpress.com/2013/06/oedc3a9mc3a8re-ochracc3a92.jpg,https://tifaeris.wordpress.com/insectes/coleopteres/oedemere-ochrace/,
05/07/2015 22:36:43,04/07/2015,Tifaeris,C9,,Odonates,Calopterygidae,Calopteryx,Caloptéryx hémorroïdal (Calopteryx haemorrhoidalis),10aines,,https://tifaeris.files.wordpress.com/2014/06/caloptc3a9ryx-hc3a9morroc3afdal2.jpg,https://tifaeris.wordpress.com/insectes/odonates/calopteryx-hemorroidal/,
05/07/2015 22:37:54,04/07/2015,Tifaeris,C9,,Odonates,Calopterygidae,Calopteryx,Caloptéryx vierge (Calopteryx virgo),10aines,,https://tifaeris.files.wordpress.com/2015/06/caloptc3a9ryx-vierge-2.jpg,https://tifaeris.wordpress.com/insectes/odonates/calopteryx-vierge-calopteryx-virgo/,
05/07/2015 22:39:30,04/07/2015,Tifaeris,C8,,Araignées,Araneidae,Neoscona,Épeire fougère (Neoscona adianta),1,,https://tifaeris.files.wordpress.com/2013/08/c3a9peire-fougc3a8re.jpg,https://tifaeris.wordpress.com/arachnides-2/arachnides/epeire-fougere/,
05/07/2015 22:42:11,04/07/2015,Tifaeris,D6,,Odonates,Coenagrionidae,Ceriagrion,Agrion délicat (Ceriagrion tenellum),2,,https://tifaeris.files.wordpress.com/2013/07/cc3a9riagrion-dc3a9licat.jpg,https://tifaeris.wordpress.com/insectes/odonates/agrion-delicat/,
05/07/2015 22:42:59,04/07/2015,Tifaeris,D6,,Odonates,Libellulidae,Orthetrum,Orthétrum brun (Orthetrum brunneum),3,,https://tifaeris.files.wordpress.com/2015/06/orthc3a9trum-brun1.jpg,https://tifaeris.wordpress.com/insectes/odonates/orthetrum-brun-orthetrum-brunneum/,1 tandem
05/07/2015 22:43:58,04/07/2015,Tifaeris,D6,,Odonates,Libellulidae,Crocothemis,Crocothémis écarlate (Crocothemis erythraea),2,Mâles,https://tifaeris.files.wordpress.com/2013/05/crocothc3a9mis-c3a9carlate5.jpg,https://tifaeris.wordpress.com/insectes/odonates/crocothemis-ecarlate/,
05/07/2015 22:45:21,04/07/2015,Tifaeris,D6,,Odonates,Libellulidae,Orthetrum,Orthétrum bleuissant (Orthetrum coerulescens),2,Mâles,https://tifaeris.files.wordpress.com/2013/07/orthc3a9trum-bleuissant-3.jpg,https://tifaeris.wordpress.com/insectes/odonates/orthetrum-bleuissant/,
05/07/2015 22:47:10,04/07/2015,Tifaeris,D6,,Odonates,Aeshnidae,Anax,Anax empereur (Anax imperator),1,Femelle,https://tifaeris.files.wordpress.com/2013/06/anax-empereur3.jpg,https://tifaeris.wordpress.com/insectes/odonates/anax-empereur/,Ponte
05/07/2015 22:48:14,04/07/2015,Tifaeris,D6,,Odonates,Coenagrionidae,Ischnura,Ischnure élégante (Ischnura elegans),1,,,https://tifaeris.wordpress.com/insectes/odonates/ischnure-elegante/,
15/07/2015 23:05:00,04/07/2015,Tifaeris,B9,,Hyménoptères,Tenthredinidae,Rhogogaster,,1,,https://tifaeris.files.wordpress.com/2015/07/rhogogaster.jpg,https://tifaeris.wordpress.com/insectes/hymenopteres/rhogogaster-sp-genre/,
